Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,Peter Evison,,Phil Taylor,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,Martin Adams,,Bob Taylor,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,Magnus Caris,,John Lowe,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,Eric Bristow,,Jamie Harvey,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,Keith Sullivan,,Peter Locke,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,Kevin Spiolek,,Rab Lusk,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,Mike Gregory,,Heikki Hermunen,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,Phil Gilman,,Jann Hoffman,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,Robert Bailie,,Rod Harrington,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,Steve Beaton,,John Mack,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,Alan Warriner-Little,,Graham Miller,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,Bert Vlaardingerbroek,,Tony Hull,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,Richie Davies,,Gerald Verrier,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,PJ Moylan,,Per Skau,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,Dennis Priestley,,Shayne Burgess,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 32,Dave Askew,,Dave Kelly (US),,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 16,Martin Adams,,Peter Evison,,0 V 0,0.0,0.0,draw
World Masters,03/12/1992,https://www.dartsdatabase.co.uk/display-event.php?eid=286&tna=World Masters&eda=03/12/1992,Last 16,Magnus Caris,,Eric Bristow,,0 V 0,0.0,0.0,draw
