Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
Tarporley Open,30/12/2010,https://www.dartsdatabase.co.uk/display-event.php?eid=3603&tna=Tarporley Open&eda=30/12/2010,Quarter Final,Karl Dennel,,Shaun Trever,,0 V 0,0.0,0.0,draw
Tarporley Open,30/12/2010,https://www.dartsdatabase.co.uk/display-event.php?eid=3603&tna=Tarporley Open&eda=30/12/2010,Quarter Final,John Bowles,,Derek Williams,,0 V 0,0.0,0.0,draw
Tarporley Open,30/12/2010,https://www.dartsdatabase.co.uk/display-event.php?eid=3603&tna=Tarporley Open&eda=30/12/2010,Quarter Final,Andy Pearce,,Joe Atwood,,0 V 0,0.0,0.0,draw
Tarporley Open,30/12/2010,https://www.dartsdatabase.co.uk/display-event.php?eid=3603&tna=Tarporley Open&eda=30/12/2010,Quarter Final,John Cooper,,David Adshead,,0 V 0,0.0,0.0,draw
Tarporley Open,30/12/2010,https://www.dartsdatabase.co.uk/display-event.php?eid=3603&tna=Tarporley Open&eda=30/12/2010,Semi Final,John Bowles,,Karl Dennel,,0 V 0,0.0,0.0,draw
Tarporley Open,30/12/2010,https://www.dartsdatabase.co.uk/display-event.php?eid=3603&tna=Tarporley Open&eda=30/12/2010,Semi Final,Andy Pearce,,John Cooper,,0 V 0,0.0,0.0,draw
Tarporley Open,30/12/2010,https://www.dartsdatabase.co.uk/display-event.php?eid=3603&tna=Tarporley Open&eda=30/12/2010,Final,John Bowles,,Andy Pearce,,0 V 0,0.0,0.0,draw
ENC Darts Open,30/12/2010,https://www.dartsdatabase.co.uk/display-event.php?eid=5177&tna=ENC Darts Open&eda=30/12/2010,Quarter Final,John de Kruijf,,Remon Hurrebrink,,5 V 3,5.0,3.0,John de Kruijf
ENC Darts Open,30/12/2010,https://www.dartsdatabase.co.uk/display-event.php?eid=5177&tna=ENC Darts Open&eda=30/12/2010,Quarter Final,Jeroen Geerdink,,Raymond Hoevenberg,,5 V 3,5.0,3.0,Jeroen Geerdink
ENC Darts Open,30/12/2010,https://www.dartsdatabase.co.uk/display-event.php?eid=5177&tna=ENC Darts Open&eda=30/12/2010,Quarter Final,Christian Kist,,Jerry Hendriks,,5 V 4,5.0,4.0,Christian Kist
ENC Darts Open,30/12/2010,https://www.dartsdatabase.co.uk/display-event.php?eid=5177&tna=ENC Darts Open&eda=30/12/2010,Quarter Final,Maarten Pape,,Erwin Extercatte,,5 V 3,5.0,3.0,Maarten Pape
ENC Darts Open,30/12/2010,https://www.dartsdatabase.co.uk/display-event.php?eid=5177&tna=ENC Darts Open&eda=30/12/2010,Semi Final,Jeroen Geerdink,,John de Kruijf,,6 V 3,6.0,3.0,Jeroen Geerdink
ENC Darts Open,30/12/2010,https://www.dartsdatabase.co.uk/display-event.php?eid=5177&tna=ENC Darts Open&eda=30/12/2010,Semi Final,Maarten Pape,,Christian Kist,,6 V 5,6.0,5.0,Maarten Pape
ENC Darts Open,30/12/2010,https://www.dartsdatabase.co.uk/display-event.php?eid=5177&tna=ENC Darts Open&eda=30/12/2010,Final,Jeroen Geerdink,,Maarten Pape,,7 V 6,7.0,6.0,Jeroen Geerdink
Ranking Tuesday Open,28/12/2010,https://www.dartsdatabase.co.uk/display-event.php?eid=5178&tna=Ranking Tuesday Open&eda=28/12/2010,Semi Final,Kim Huybrechts,,Gino Vos,,4 V 3,4.0,3.0,Kim Huybrechts
