Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
Cosham Xmas Open,28/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=2908&tna=Cosham Xmas Open&eda=28/12/2001,Final,Lionel Sams,,Roy Turner,,0 V 0,0.0,0.0,draw
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Bob Taylor,,Andy Jenkins,,4 V 3,4.0,3.0,Bob Taylor
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Co Stompe,,Ronnie Baxter,,5 V 2,5.0,2.0,Co Stompe
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Ronnie Baxter,,Bob Taylor,,5 V 2,5.0,2.0,Ronnie Baxter
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Co Stompe,,Andy Jenkins,,6 V 1,6.0,1.0,Co Stompe
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Co Stompe,,Bob Taylor,,6 V 1,6.0,1.0,Co Stompe
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Ronnie Baxter,,Andy Jenkins,,4 V 3,4.0,3.0,Ronnie Baxter
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Wayne Mardle,,Ted Hankey,,4 V 3,4.0,3.0,Wayne Mardle
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Mervyn King,,Vincent van der Voort,,4 V 3,4.0,3.0,Mervyn King
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Ted Hankey,,Mervyn King,,4 V 3,4.0,3.0,Ted Hankey
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Wayne Mardle,,Vincent van der Voort,,4 V 3,4.0,3.0,Wayne Mardle
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Ted Hankey,,Vincent van der Voort,,5 V 2,5.0,2.0,Ted Hankey
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Mervyn King,,Wayne Mardle,,5 V 2,5.0,2.0,Mervyn King
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Peter Manley,,Kevin Painter,,4 V 3,4.0,3.0,Peter Manley
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Raymond van Barneveld,,Mitchell Crooks,,5 V 2,5.0,2.0,Raymond van Barneveld
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Kevin Painter,,Raymond van Barneveld,,4 V 3,4.0,3.0,Kevin Painter
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Peter Manley,,Mitchell Crooks,,5 V 2,5.0,2.0,Peter Manley
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Kevin Painter,,Mitchell Crooks,,4 V 3,4.0,3.0,Kevin Painter
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Raymond van Barneveld,,Peter Manley,,7 V 0,7.0,0.0,Raymond van Barneveld
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Andy Fordham,,Colin Monk,,7 V 0,7.0,0.0,Andy Fordham
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Martin Adams,,Matt Clark,,5 V 2,5.0,2.0,Martin Adams
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Martin Adams,,Andy Fordham,,5 V 2,5.0,2.0,Martin Adams
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Colin Monk,,Matt Clark,,4 V 3,4.0,3.0,Colin Monk
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Andy Fordham,,Matt Clark,,5 V 2,5.0,2.0,Andy Fordham
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Last 16 Group,Colin Monk,,Martin Adams,,5 V 2,5.0,2.0,Colin Monk
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Quarter Final,Ronnie Baxter,,Ted Hankey,,2 V 1,2.0,1.0,Ronnie Baxter
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Quarter Final,Raymond van Barneveld,,Martin Adams,,2 V 0,2.0,0.0,Raymond van Barneveld
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Quarter Final,Co Stompe,,Mervyn King,,2 V 1,2.0,1.0,Co Stompe
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Quarter Final,Andy Fordham,,Kevin Painter,,2 V 0,2.0,0.0,Andy Fordham
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Semi Final,Raymond van Barneveld,,Ronnie Baxter,,3 V 1,3.0,1.0,Raymond van Barneveld
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Semi Final,Andy Fordham,,Co Stompe,,3 V 0,3.0,0.0,Andy Fordham
Zuiderduin Masters,09/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=918&tna=Zuiderduin Masters&eda=09/12/2001,Final,Raymond van Barneveld,,Andy Fordham,,5 V 1,5.0,1.0,Raymond van Barneveld
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Paul Watton,,Kenny Horton,,2 V 0,2.0,0.0,Paul Watton
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Jeff Waterman,,Daniel Bottelbergs,,0 V 0,0.0,0.0,draw
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Wayne Jones,,Gerry Convery,,2 V 0,2.0,0.0,Wayne Jones
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Vladimir Kurakin,,Dominique Leroy,,2 V 0,2.0,0.0,Vladimir Kurakin
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Jari Yllikaupila,,Roman Famitschev,,2 V 0,2.0,0.0,Jari Yllikaupila
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Tony David,,Darren Bentley,,2 V 0,2.0,0.0,Tony David
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Andrew Coulter,,Audar Solberg,,2 V 1,2.0,1.0,Andrew Coulter
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,John Ferrell,,Guido van Uffelen,,2 V 1,2.0,1.0,John Ferrell
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Marco Tak,,Yuri Salev,,2 V 0,2.0,0.0,Marco Tak
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Richie Burnett,,Franz Thaler,,2 V 1,2.0,1.0,Richie Burnett
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Steve McDonnell,,Bjorn Berg,,0 V 0,0.0,0.0,draw
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Colin Rice,,Danny Ballard,,2 V 0,2.0,0.0,Colin Rice
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Chris van den Bergh,,Carlos Taindade,,2 V 0,2.0,0.0,Chris van den Bergh
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Mike Veitch,,John Elder,,2 V 1,2.0,1.0,Mike Veitch
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Justin Broton,,Michael Pestman,,2 V 1,2.0,1.0,Justin Broton
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Paul Higgins,,Stephane Pichot,,2 V 0,2.0,0.0,Paul Higgins
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Colin Monk,,Ray Carver,,2 V 0,2.0,0.0,Colin Monk
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Matt Chapman,,Marco Apollonio,,2 V 0,2.0,0.0,Matt Chapman
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Brendan Grace,,Jan Mares,,0 V 0,0.0,0.0,draw
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Darran Bree,,Dan Lauby Snr,,2 V 0,2.0,0.0,Darran Bree
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Robert Wagner,,Brian Buur,,2 V 0,2.0,0.0,Robert Wagner
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Sergei Vodicar,,Ulrich Meyer-Schluter,,2 V 0,2.0,0.0,Sergei Vodicar
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Chris Stephani,,Mitchell Crooks,,0 V 0,0.0,0.0,draw
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Peter Allen,,Vincent van der Voort,,2 V 1,2.0,1.0,Peter Allen
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Colin Lloyd,,Per Laursen,,2 V 0,2.0,0.0,Colin Lloyd
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Sigudur Hjorleifsson,,Les Wallace,,0 V 0,0.0,0.0,draw
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Anders Larsson,,Jukka Pelamo,,2 V 0,2.0,0.0,Anders Larsson
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Alan Thomson,,Oyvind Aasland,,0 V 0,0.0,0.0,draw
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Hannes Schnier,,Anto McCracken,,2 V 1,2.0,1.0,Hannes Schnier
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Phil Nixon,,Tony Dawkins,,2 V 0,2.0,0.0,Phil Nixon
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Tomas Seyler,,Frede Johansen,,2 V 1,2.0,1.0,Tomas Seyler
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,John Donaldson,,Michael Hendirkson,,2 V 0,2.0,0.0,John Donaldson
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 192,Geoff Wylie,,Arnold Paap,,2 V 0,2.0,0.0,Geoff Wylie
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 128,Paul Watton,,Marko Pusa,,2 V 0,2.0,0.0,Paul Watton
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 128,Jeff Waterman,,Anton Reitshammer,,2 V 0,2.0,0.0,Jeff Waterman
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 128,Wayne Jones,,Andree Welge,,2 V 0,2.0,0.0,Wayne Jones
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 128,Tony O'Shea,,Kevin Mark,,2 V 0,2.0,0.0,Tony O'Shea
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 128,Matt Clark,,Vladimir Kurakin,,2 V 0,2.0,0.0,Matt Clark
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 128,Luis Martinez,,Jari Yllikaupila,,2 V 1,2.0,1.0,Luis Martinez
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 128,Michael Capewell,,Tony David,,2 V 1,2.0,1.0,Michael Capewell
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 128,Martyn Freeman,,Miguel Ordonez,,2 V 0,2.0,0.0,Martyn Freeman
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 128,Ronnie Baxter,,Andrew Coulter,,2 V 0,2.0,0.0,Ronnie Baxter
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 128,Co Stompe,,John Ferrell,,2 V 1,2.0,1.0,Co Stompe
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 128,John Part,,Throstur Ingimarsson,,2 V 0,2.0,0.0,John Part
World Masters,02/12/2001,https://www.dartsdatabase.co.uk/display-event.php?eid=277&tna=World Masters&eda=02/12/2001,Last 128,Richie Davies,,Javier Hibernon,,2 V 1,2.0,1.0,Richie Davies
