Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
Haaglanden World Top 16 Event,17/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=3714&tna=Haaglanden World Top 16 Event&eda=17/12/2000,Quarter Final,Raymond van Barneveld,,John Walton,,2 V 0,2.0,0.0,Raymond van Barneveld
Haaglanden World Top 16 Event,17/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=3714&tna=Haaglanden World Top 16 Event&eda=17/12/2000,Quarter Final,Steve Coote,,Ted Hankey,,2 V 1,2.0,1.0,Steve Coote
Haaglanden World Top 16 Event,17/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=3714&tna=Haaglanden World Top 16 Event&eda=17/12/2000,Quarter Final,Andy Fordham,,Mervyn King,,2 V 1,2.0,1.0,Andy Fordham
Haaglanden World Top 16 Event,17/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=3714&tna=Haaglanden World Top 16 Event&eda=17/12/2000,Quarter Final,Martin Adams,,Mitchell Crooks,,2 V 0,2.0,0.0,Martin Adams
Haaglanden World Top 16 Event,17/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=3714&tna=Haaglanden World Top 16 Event&eda=17/12/2000,Semi Final,Raymond van Barneveld,,Steve Coote,,3 V 1,3.0,1.0,Raymond van Barneveld
Haaglanden World Top 16 Event,17/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=3714&tna=Haaglanden World Top 16 Event&eda=17/12/2000,Semi Final,Martin Adams,,Andy Fordham,,3 V 0,3.0,0.0,Martin Adams
Haaglanden World Top 16 Event,17/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=3714&tna=Haaglanden World Top 16 Event&eda=17/12/2000,Final,Martin Adams,,Raymond van Barneveld,,4 V 2,4.0,2.0,Martin Adams
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Robbie Widdows,,Erik Clarys,,5 V 2,5.0,2.0,Robbie Widdows
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Martin Adams,,Co Stompe,,4 V 3,4.0,3.0,Martin Adams
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Co Stompe,,Robbie Widdows,,7 V 0,7.0,0.0,Co Stompe
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Martin Adams,,Erik Clarys,,5 V 2,5.0,2.0,Martin Adams
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Martin Adams,,Robbie Widdows,,6 V 1,6.0,1.0,Martin Adams
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Co Stompe,,Erik Clarys,,4 V 3,4.0,3.0,Co Stompe
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Ted Hankey,,Frans Harmsen,,7 V 0,7.0,0.0,Ted Hankey
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Steve Beaton,,Les Wallace,,6 V 1,6.0,1.0,Steve Beaton
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Les Wallace,,Ted Hankey,,5 V 2,5.0,2.0,Les Wallace
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Steve Beaton,,Frans Harmsen,,5 V 2,5.0,2.0,Steve Beaton
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Steve Beaton,,Ted Hankey,,4 V 3,4.0,3.0,Steve Beaton
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Les Wallace,,Frans Harmsen,,5 V 2,5.0,2.0,Les Wallace
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Marko Pusa,,Steve Coote,,7 V 0,7.0,0.0,Marko Pusa
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Raymond van Barneveld,,Matt Clark,,5 V 2,5.0,2.0,Raymond van Barneveld
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Raymond van Barneveld,,Steve Coote,,6 V 1,6.0,1.0,Raymond van Barneveld
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Marko Pusa,,Matt Clark,,7 V 0,7.0,0.0,Marko Pusa
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Steve Coote,,Matt Clark,,4 V 3,4.0,3.0,Steve Coote
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Marko Pusa,,Raymond van Barneveld,,5 V 2,5.0,2.0,Marko Pusa
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Peter Manley,,Mervyn King,,4 V 3,4.0,3.0,Peter Manley
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Wayne Mardle,,Colin Monk,,5 V 2,5.0,2.0,Wayne Mardle
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Wayne Mardle,,Peter Manley,,4 V 3,4.0,3.0,Wayne Mardle
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Mervyn King,,Colin Monk,,6 V 1,6.0,1.0,Mervyn King
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Peter Manley,,Colin Monk,,4 V 3,4.0,3.0,Peter Manley
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Last 16 Group,Wayne Mardle,,Mervyn King,,5 V 2,5.0,2.0,Wayne Mardle
Zuiderduin Masters,09/12/2000,https://www.dartsdatabase.co.uk/display-event.php?eid=919&tna=Zuiderduin Masters&eda=09/12/2000,Quarter Final,Steve Beaton,89.49,Co Stompe,91.68,2 V 0,2.0,0.0,Steve Beaton
