Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,2017-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=7795&tna=PDC World Championship&eda=02/01/2017,Last 32,Michael Smith,93.83,Mervyn King,94.24,4 V 3,4.0,3.0,Michael Smith
PDC World Championship,2017-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=7795&tna=PDC World Championship&eda=02/01/2017,Last 32,Michael van Gerwen,105.24,Cristo Reyes,106.07,4 V 2,4.0,2.0,Michael van Gerwen
PDC World Championship,2017-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=7795&tna=PDC World Championship&eda=02/01/2017,Last 32,Mark Webster,92.79,Mensur Suljovic,91.23,4 V 3,4.0,3.0,Mark Webster
PDC World Championship,2017-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=7795&tna=PDC World Championship&eda=02/01/2017,Last 32,Daryl Gurney,95.35,Robert Thornton,90.74,4 V 3,4.0,3.0,Daryl Gurney
PDC World Championship,2017-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=7795&tna=PDC World Championship&eda=02/01/2017,Last 32,Phil Taylor,92.73,Kevin Painter,90.52,4 V 0,4.0,0.0,Phil Taylor
PDC World Championship,2017-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=7795&tna=PDC World Championship&eda=02/01/2017,Last 32,Raymond van Barneveld,103.59,Alan Norris,97.03,4 V 0,4.0,0.0,Raymond van Barneveld
PDC World Championship,2017-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=7795&tna=PDC World Championship&eda=02/01/2017,Last 32,Dave Chisnall,92.88,Chris Dobey,90.71,4 V 2,4.0,2.0,Dave Chisnall
PDC World Championship,2017-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=7795&tna=PDC World Championship&eda=02/01/2017,Last 32,James Wade,99.39,Steve Beaton,97.74,4 V 1,4.0,1.0,James Wade
PDC World Championship,2017-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=7795&tna=PDC World Championship&eda=02/01/2017,Last 32,Jelle Klaasen,93.32,Brendan Dolan,93.34,4 V 0,4.0,0.0,Jelle Klaasen
PDC World Championship,2017-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=7795&tna=PDC World Championship&eda=02/01/2017,Last 32,Peter Wright,103.53,Jamie Lewis,91.35,4 V 0,4.0,0.0,Peter Wright
PDC World Championship,2017-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=7795&tna=PDC World Championship&eda=02/01/2017,Last 64,Kevin Painter,85.13,Jamie Caven,81.51,3 V 1,3.0,1.0,Kevin Painter
PDC World Championship,2017-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=7795&tna=PDC World Championship&eda=02/01/2017,Last 64,Gary Anderson,96.16,Mark Frost,73.74,3 V 0,3.0,0.0,Gary Anderson
PDC World Championship,2017-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=7795&tna=PDC World Championship&eda=02/01/2017,Last 64,Jamie Lewis,91.08,Mick McGowan,87.01,3 V 2,3.0,2.0,Jamie Lewis
PDC World Championship,2017-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=7795&tna=PDC World Championship&eda=02/01/2017,Last 32,Ian White,92.6,Jonny Clayton,86.38,4 V 1,4.0,1.0,Ian White
