Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 40,Gerry Convery,84.06,Wes Newton,81.53,3 V 0,3.0,0.0,Gerry Convery
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 40,Chris Mason,95.51,Jason Clark,87.76,3 V 1,3.0,1.0,Chris Mason
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 32,Phil Taylor,102.87,Alex Roy,87.13,4 V 0,4.0,0.0,Phil Taylor
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 32,Kevin Painter,87.17,Wayne Jones,84.16,4 V 2,4.0,2.0,Kevin Painter
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 32,Andy Jenkins,85.22,Peter Evison,67.34,4 V 0,4.0,0.0,Andy Jenkins
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 40,John Verwey,82.73,John Lowe,84.91,3 V 2,3.0,2.0,John Verwey
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 32,Ronnie Baxter,93.54,Terry Jenkins,90.79,4 V 2,4.0,2.0,Ronnie Baxter
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 32,Bob Anderson,86.55,Dennis Smith,86.1,4 V 2,4.0,2.0,Bob Anderson
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 32,Dennis Priestley,77.87,Lionel Sams,80.5,4 V 1,4.0,1.0,Dennis Priestley
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 40,Josephus Schenk,83.51,Alan Caves,77.37,3 V 0,3.0,0.0,Josephus Schenk
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 40,Andy Hamilton,92.49,Mick Manning,89.44,3 V 0,3.0,0.0,Andy Hamilton
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 40,Peter Evison,77.71,Mark Landers,74.89,3 V 0,3.0,0.0,Peter Evison
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 40,Wayne Jones,82.3,Keith Deller,77.64,3 V 1,3.0,1.0,Wayne Jones
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 48,Jason Clark,81.44,Yasuhiko Matsunaga,72.74,3 V 0,3.0,0.0,Jason Clark
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 48,Gerry Convery,84.54,Tang Jun,72.45,3 V 0,3.0,0.0,Gerry Convery
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 48,Josephus Schenk,84.89,Darin Young,82.74,3 V 2,3.0,2.0,Josephus Schenk
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 48,Mark Holden,94.42,James Wade,88.14,3 V 0,3.0,0.0,Mark Holden
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 48,Mark Landers,76.7,Alan Reynolds,79.51,3 V 2,3.0,2.0,Mark Landers
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 48,Wayne Jones,91.38,Barry Jouannet Jnr,82.18,3 V 0,3.0,0.0,Wayne Jones
PDC World Championship,2005-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=233&tna=PDC World Championship&eda=03/01/2005,Last 32,Andy Hamilton,89.33,Steve Beaton,84.53,4 V 2,4.0,2.0,Andy Hamilton
