Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
Ireland Players Championship 2,2013-11-23,https://www.dartsdatabase.co.uk/display-event.php?eid=5743&tna=Ireland Players Championship 2&eda=23/11/2013,Last 16,Ross O Brien,,Albert Keating,,4 V 0,4.0,0.0,Ross O Brien
Ireland Players Championship 2,2013-11-23,https://www.dartsdatabase.co.uk/display-event.php?eid=5743&tna=Ireland Players Championship 2&eda=23/11/2013,Final,Garrett Gray,,Benny Grace,,6 V 0,6.0,0.0,Garrett Gray
Ireland Players Championship 2,2013-11-23,https://www.dartsdatabase.co.uk/display-event.php?eid=5743&tna=Ireland Players Championship 2&eda=23/11/2013,Semi Final,Garrett Gray,,Shane O'Connor,,5 V 2,5.0,2.0,Garrett Gray
Ireland Players Championship 2,2013-11-23,https://www.dartsdatabase.co.uk/display-event.php?eid=5743&tna=Ireland Players Championship 2&eda=23/11/2013,Semi Final,Benny Grace,,Ryan Maher,,5 V 2,5.0,2.0,Benny Grace
Ireland Players Championship 2,2013-11-23,https://www.dartsdatabase.co.uk/display-event.php?eid=5743&tna=Ireland Players Championship 2&eda=23/11/2013,Quarter Final,Garrett Gray,,Oisin Daly,,4 V 0,4.0,0.0,Garrett Gray
Ireland Players Championship 2,2013-11-23,https://www.dartsdatabase.co.uk/display-event.php?eid=5743&tna=Ireland Players Championship 2&eda=23/11/2013,Quarter Final,Shane O'Connor,,Glenn Spearing,,4 V 3,4.0,3.0,Shane O'Connor
Ireland Players Championship 2,2013-11-23,https://www.dartsdatabase.co.uk/display-event.php?eid=5743&tna=Ireland Players Championship 2&eda=23/11/2013,Quarter Final,Ryan Maher,,Terry Meehan,,4 V 0,4.0,0.0,Ryan Maher
Ireland Players Championship 2,2013-11-23,https://www.dartsdatabase.co.uk/display-event.php?eid=5743&tna=Ireland Players Championship 2&eda=23/11/2013,Quarter Final,Benny Grace,,Ross O Brien,,4 V 3,4.0,3.0,Benny Grace
Ireland Players Championship 2,2013-11-23,https://www.dartsdatabase.co.uk/display-event.php?eid=5743&tna=Ireland Players Championship 2&eda=23/11/2013,Last 16,Garrett Gray,,David Richards,,4 V 3,4.0,3.0,Garrett Gray
Ireland Players Championship 2,2013-11-23,https://www.dartsdatabase.co.uk/display-event.php?eid=5743&tna=Ireland Players Championship 2&eda=23/11/2013,Last 16,Oisin Daly,,John Quinn,,4 V 3,4.0,3.0,Oisin Daly
Ireland Players Championship 2,2013-11-23,https://www.dartsdatabase.co.uk/display-event.php?eid=5743&tna=Ireland Players Championship 2&eda=23/11/2013,Last 16,Glenn Spearing,,John Seagrave,,4 V 2,4.0,2.0,Glenn Spearing
Ireland Players Championship 2,2013-11-23,https://www.dartsdatabase.co.uk/display-event.php?eid=5743&tna=Ireland Players Championship 2&eda=23/11/2013,Last 16,Shane O'Connor,,Dessie Sheridan,,4 V 1,4.0,1.0,Shane O'Connor
Ireland Players Championship 2,2013-11-23,https://www.dartsdatabase.co.uk/display-event.php?eid=5743&tna=Ireland Players Championship 2&eda=23/11/2013,Last 16,Terry Meehan,,Joe Byrne,,4 V 0,4.0,0.0,Terry Meehan
