Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,Alan Warriner-Little,87.93,Reg Harding,80.4,3 V 0,3.0,0.0,Alan Warriner-Little
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,Dennis Smith,93.21,Peter Evison,84.66,3 V 0,3.0,0.0,Dennis Smith
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,Paul Lim,89.49,Dan Lauby Snr,80.94,3 V 1,3.0,1.0,Paul Lim
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,John Part,89.79,Colin Lloyd,85.32,3 V 0,3.0,0.0,John Part
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,Rod Harrington,91.62,Bob Anderson,92.28,3 V 1,3.0,1.0,Rod Harrington
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,Graeme Stoddart,78.93,Gayl King,69.33,3 V 1,3.0,1.0,Graeme Stoddart
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,Cliff Lazarenko,87.51,Steve Cummings,81.0,3 V 0,3.0,0.0,Cliff Lazarenko
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,Roland Scholten,93.09,Shayne Burgess,93.9,3 V 0,3.0,0.0,Roland Scholten
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,Phil Taylor,94.08,Nigel Justice,78.42,3 V 0,3.0,0.0,Phil Taylor
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,Les Fitton,89.19,Denis Ovens,91.32,3 V 1,3.0,1.0,Les Fitton
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,Keith Deller,88.14,Dennis Priestley,85.77,3 V 2,3.0,2.0,Keith Deller
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,Dave Askew,93.84,Mick Manning,87.9,3 V 2,3.0,2.0,Dave Askew
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,Alex Roy,85.44,Steve Raw,86.37,3 V 2,3.0,2.0,Alex Roy
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,John Lowe,88.23,Gary Spedding,81.84,3 V 1,3.0,1.0,John Lowe
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,Jamie Harvey,86.46,Peter Manley,86.31,3 V 2,3.0,2.0,Jamie Harvey
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 16,Alan Warriner-Little,84.6,Paul Lim,85.74,3 V 2,3.0,2.0,Alan Warriner-Little
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 32,Richie Burnett,103.38,Steve Brown (US),85.5,3 V 2,3.0,2.0,Richie Burnett
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 16,Rod Harrington,91.74,Graeme Stoddart,80.43,3 V 0,3.0,0.0,Rod Harrington
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 16,John Part,90.93,Dennis Smith,88.5,3 V 2,3.0,2.0,John Part
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Final,Phil Taylor,107.46,John Part,92.58,7 V 0,7.0,0.0,Phil Taylor
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Semi Final,Phil Taylor,102.75,Dave Askew,88.35,6 V 0,6.0,0.0,Phil Taylor
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Semi Final,John Part,90.99,Rod Harrington,95.79,6 V 5,6.0,5.0,John Part
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Quarter Final,Dave Askew,96.87,Jamie Harvey,80.49,4 V 0,4.0,0.0,Dave Askew
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Quarter Final,Rod Harrington,93.51,Roland Scholten,86.79,4 V 2,4.0,2.0,Rod Harrington
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Quarter Final,Phil Taylor,103.2,Keith Deller,85.56,4 V 0,4.0,0.0,Phil Taylor
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 16,Jamie Harvey,85.89,John Lowe,85.17,3 V 0,3.0,0.0,Jamie Harvey
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 16,Dave Askew,88.56,Alex Roy,87.54,3 V 2,3.0,2.0,Dave Askew
PDC World Championship,2001-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=237&tna=PDC World Championship&eda=03/01/2001,Last 16,Keith Deller,91.92,Richie Burnett,96.39,3 V 2,3.0,2.0,Keith Deller
