Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Cody Harris,88.66,Martin Schindler,85.18,3 V 2,3.0,2.0,Cody Harris
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Jeffrey de Zwaan,91.18,Nitin Kumar,77.75,3 V 0,3.0,0.0,Jeffrey de Zwaan
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Jan Dekker,88.95,Lisa Ashton,88.56,3 V 1,3.0,1.0,Jan Dekker
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Kevin Burness,88.55,Paul Nicholson,85.03,3 V 0,3.0,0.0,Kevin Burness
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Danny Noppert,96.19,Royden Lam,85.72,3 V 0,3.0,0.0,Danny Noppert
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Ted Evetts,92.97,Simon Stevenson,93.96,3 V 0,3.0,0.0,Ted Evetts
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 64,Steve West,89.49,Richard North,95.96,3 V 1,3.0,1.0,Steve West
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Alan Tabern,91.12,Raymond Smith,86.14,3 V 2,3.0,2.0,Alan Tabern
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 64,Devon Petersen,94.68,Ian White,98.66,3 V 2,3.0,2.0,Devon Petersen
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 64,Luke Humphries,95.56,Stephen Bunting,88.21,3 V 1,3.0,1.0,Luke Humphries
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 64,Nathan Aspinall,92.28,Gerwyn Price,89.08,3 V 2,3.0,2.0,Nathan Aspinall
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 64,Benito van de Pas,86.62,Jim Long,85.71,3 V 2,3.0,2.0,Benito van de Pas
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 64,John Henderson,95.17,Gabriel Clemens,93.89,3 V 2,3.0,2.0,John Henderson
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 64,Dimitri van den Bergh,104.45,Jonny Clayton,92.68,3 V 1,3.0,1.0,Dimitri van den Bergh
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 64,Keegan Brown,82.55,Jelle Klaasen,79.24,3 V 1,3.0,1.0,Keegan Brown
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 64,Mervyn King,97.76,Jan Dekker,87.56,3 V 2,3.0,2.0,Mervyn King
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 64,Ryan Searle,90.66,Mensur Suljovic,90.83,3 V 1,3.0,1.0,Ryan Searle
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Michael Barnard,88.08,Jose de Sousa,87.83,3 V 2,3.0,2.0,Michael Barnard
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 64,Cristo Reyes,89.3,Rowby-John Rodriguez,85.28,3 V 2,3.0,2.0,Cristo Reyes
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 64,Kyle Anderson,96.41,Noel Malicdem,92.93,3 V 1,3.0,1.0,Kyle Anderson
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Chris Dobey,92.56,Boris Koltsov,79.19,3 V 0,3.0,0.0,Chris Dobey
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Luke Humphries,97.58,Adam Hunt,81.4,3 V 0,3.0,0.0,Luke Humphries
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Jim Long,75.33,Mickey Mansell,74.45,3 V 1,3.0,1.0,Jim Long
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Noel Malicdem,85.86,Jeffrey de Graaf,78.52,3 V 2,3.0,2.0,Noel Malicdem
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Nathan Aspinall,88.42,Geert Nentjes,78.03,3 V 0,3.0,0.0,Nathan Aspinall
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Ron Meulenkamp,93.56,Diogo Portela,92.12,3 V 2,3.0,2.0,Ron Meulenkamp
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Dimitri van den Bergh,85.25,Chuck Puleo,83.34,3 V 0,3.0,0.0,Dimitri van den Bergh
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Rowby-John Rodriguez,89.3,Ricky Evans,90.74,3 V 1,3.0,1.0,Rowby-John Rodriguez
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Daniel Larsson,91.03,Robert Thornton,87.15,3 V 1,3.0,1.0,Daniel Larsson
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Seigo Asada,90.64,Krzysztof Ratajski,90.2,3 V 2,3.0,2.0,Seigo Asada
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Steve Lennon,87.22,James Bailey,80.18,3 V 0,3.0,0.0,Steve Lennon
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Devon Petersen,84.79,Wayne Jones,83.66,3 V 2,3.0,2.0,Devon Petersen
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Vincent van der Voort,94.06,Lourence Ilagan,95.52,3 V 1,3.0,1.0,Vincent van der Voort
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Ryan Joyce,90.34,Anastasia Dobromyslova,77.32,3 V 0,3.0,0.0,Ryan Joyce
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Brendan Dolan,86.63,Yuanjun Liu,78.45,3 V 0,3.0,0.0,Brendan Dolan
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Gabriel Clemens,83.27,Aden Kirk,80.31,3 V 0,3.0,0.0,Gabriel Clemens
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,William O'Connor,87.12,Yordi Meeuwisse,84.3,3 V 0,3.0,0.0,William O'Connor
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 64,Chris Dobey,93.44,Steve Beaton,89.27,3 V 0,3.0,0.0,Chris Dobey
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Ross Smith,91.89,Paul Lim,91.28,3 V 1,3.0,1.0,Ross Smith
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Darius Labanauskas,93.57,Matthew Edgar,83.41,3 V 1,3.0,1.0,Darius Labanauskas
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Toni Alcinas,86.03,Craig Ross,71.47,3 V 0,3.0,0.0,Toni Alcinas
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Ryan Searle,87.82,Stephen Burton,87.06,3 V 0,3.0,0.0,Ryan Searle
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Keegan Brown,95.78,Karel Sedlacek,92.15,3 V 0,3.0,0.0,Keegan Brown
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Richard North,92.82,Robert Marijanovic,85.99,3 V 2,3.0,2.0,Richard North
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 96,Josh Payne,87.34,Jeff Smith,88.98,3 V 2,3.0,2.0,Josh Payne
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 64,Jermaine Wattimena,89.94,Michael Barnard,83.34,3 V 0,3.0,0.0,Jermaine Wattimena
PDC World Championship,2019-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8809&tna=PDC World Championship&eda=01/01/2019,Last 64,Daryl Gurney,100.3,Ross Smith,88.69,3 V 0,3.0,0.0,Daryl Gurney
