Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Phil Taylor,87.84,Gerald Verrier,76.11,3 V 0,3.0,0.0,Phil Taylor
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Steve Raw,78.51,Cliff Lazarenko,81.75,3 V 1,3.0,1.0,Steve Raw
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Gerald Verrier,84.54,Chris Mason,80.04,3 V 1,3.0,1.0,Gerald Verrier
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Phil Taylor,90.18,Chris Mason,79.95,3 V 0,3.0,0.0,Phil Taylor
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Peter Evison,92.01,Cliff Lazarenko,73.5,3 V 0,3.0,0.0,Peter Evison
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Peter Evison,88.77,Steve Raw,82.05,3 V 1,3.0,1.0,Peter Evison
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Dennis Priestley,90.99,Steve Brown (US),81.33,3 V 0,3.0,0.0,Dennis Priestley
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,John Lowe,83.46,Paul Lim,82.74,3 V 1,3.0,1.0,John Lowe
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Jamie Harvey,87.33,Paul Lim,87.75,3 V 2,3.0,2.0,Jamie Harvey
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Shayne Burgess,83.94,Rod Harrington,85.62,3 V 2,3.0,2.0,Shayne Burgess
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Rod Harrington,80.55,Sean Downs,,3 V 1,3.0,1.0,Rod Harrington
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Sean Downs,,Shayne Burgess,86.76,3 V 1,3.0,1.0,Sean Downs
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Keith Deller,83.49,Kevin Spiolek,75.96,3 V 0,3.0,0.0,Keith Deller
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Jamie Harvey,81.99,John Lowe,81.18,3 V 2,3.0,2.0,Jamie Harvey
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Dennis Smith,82.17,Kevin Spiolek,69.06,3 V 0,3.0,0.0,Dennis Smith
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Quarter Final,Phil Taylor,98.58,Keith Deller,87.39,5 V 1,5.0,1.0,Phil Taylor
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Alan Warriner-Little,86.01,Larry Butler,80.73,3 V 1,3.0,1.0,Alan Warriner-Little
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Keith Deller,83.79,Dennis Smith,85.71,3 V 2,3.0,2.0,Keith Deller
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Final,Phil Taylor,100.92,Dennis Priestley,96.78,6 V 3,6.0,3.0,Phil Taylor
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Semi Final,Phil Taylor,93.87,Eric Bristow,86.97,5 V 4,5.0,4.0,Phil Taylor
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Semi Final,Dennis Priestley,94.35,Peter Evison,91.2,5 V 4,5.0,4.0,Dennis Priestley
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Quarter Final,Eric Bristow,85.77,Alan Warriner-Little,88.74,5 V 3,5.0,3.0,Eric Bristow
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Dennis Priestley,88.41,Ritchie Gardner,81.27,3 V 1,3.0,1.0,Dennis Priestley
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Quarter Final,Peter Evison,91.38,Jamie Harvey,83.94,5 V 3,5.0,3.0,Peter Evison
PDC World Championship,1997-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=241&tna=PDC World Championship&eda=05/01/1997,Last 24 Group 3rd,Steve Brown (US),80.19,Ritchie Gardner,77.61,3 V 2,3.0,2.0,Steve Brown (US)
