Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,2016-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=6236&tna=PDC World Championship&eda=03/01/2016,Last 64,Jelle Klaasen,102.54,Joe Cullen,93.86,3 V 0,3.0,0.0,Jelle Klaasen
PDC World Championship,2016-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=6236&tna=PDC World Championship&eda=03/01/2016,Last 72,René Eidams,69.25,Thanawat Gaweenuntavong,63.64,2 V 0,2.0,0.0,René Eidams
PDC World Championship,2016-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=6236&tna=PDC World Championship&eda=03/01/2016,Last 64,Andrew Gilding,90.91,Gerwyn Price,83.86,3 V 0,3.0,0.0,Andrew Gilding
PDC World Championship,2016-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=6236&tna=PDC World Championship&eda=03/01/2016,Last 72,Andy Boulton,83.03,Per Laursen,79.27,2 V 1,2.0,1.0,Andy Boulton
PDC World Championship,2016-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=6236&tna=PDC World Championship&eda=03/01/2016,Last 72,Mick McGowan,74.19,Sun Qiang,64.73,2 V 0,2.0,0.0,Mick McGowan
PDC World Championship,2016-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=6236&tna=PDC World Championship&eda=03/01/2016,Last 72,Keita Ono,91.79,Alex Tagarao,77.4,2 V 0,2.0,0.0,Keita Ono
PDC World Championship,2016-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=6236&tna=PDC World Championship&eda=03/01/2016,Semi Final,Adrian Lewis,99.55,Raymond van Barneveld,94.07,6 V 3,6.0,3.0,Adrian Lewis
PDC World Championship,2016-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=6236&tna=PDC World Championship&eda=03/01/2016,Last 72,Rob Szabo,78.34,Michael Rasztovits,78.83,2 V 0,2.0,0.0,Rob Szabo
PDC World Championship,2016-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=6236&tna=PDC World Championship&eda=03/01/2016,Last 72,Alexander Oreshkin,89.33,Paul Lim,88.26,2 V 1,2.0,1.0,Alexander Oreshkin
PDC World Championship,2016-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=6236&tna=PDC World Championship&eda=03/01/2016,Last 72,John Michael,88.01,Warrick Scheffer,77.12,2 V 0,2.0,0.0,John Michael
PDC World Championship,2016-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=6236&tna=PDC World Championship&eda=03/01/2016,Last 64,Benito van de Pas,87.98,Max Hopp,89.49,3 V 1,3.0,1.0,Benito van de Pas
PDC World Championship,2016-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=6236&tna=PDC World Championship&eda=03/01/2016,Final,Gary Anderson,99.26,Adrian Lewis,100.23,7 V 5,7.0,5.0,Gary Anderson
