Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,2004-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=234&tna=PDC World Championship&eda=04/01/2004,Last 40,Erik Clarys,79.2,Mark Walsh,72.3,3 V 0,3.0,0.0,Erik Clarys
PDC World Championship,2004-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=234&tna=PDC World Championship&eda=04/01/2004,Last 32,Ronnie Baxter,86.85,Erik Clarys,82.56,4 V 2,4.0,2.0,Ronnie Baxter
PDC World Championship,2004-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=234&tna=PDC World Championship&eda=04/01/2004,Last 32,Kevin Painter,88.62,Paul Williams,82.47,4 V 3,4.0,3.0,Kevin Painter
PDC World Championship,2004-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=234&tna=PDC World Championship&eda=04/01/2004,Last 32,Steve Beaton,87.57,Jamie Harvey,78.99,4 V 0,4.0,0.0,Steve Beaton
PDC World Championship,2004-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=234&tna=PDC World Championship&eda=04/01/2004,Last 32,Mark Dudbridge,88.98,John Part,90.09,4 V 3,4.0,3.0,Mark Dudbridge
PDC World Championship,2004-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=234&tna=PDC World Championship&eda=04/01/2004,Last 40,Colin McGarry,86.22,Mark Holden,75.62,3 V 0,3.0,0.0,Colin McGarry
PDC World Championship,2004-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=234&tna=PDC World Championship&eda=04/01/2004,Last 40,Ritchie Buckle,91.71,Steve Brown (US),83.41,3 V 0,3.0,0.0,Ritchie Buckle
PDC World Championship,2004-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=234&tna=PDC World Championship&eda=04/01/2004,Last 40,Steve Maish,82.2,Cliff Lazarenko,80.52,3 V 2,3.0,2.0,Steve Maish
PDC World Championship,2004-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=234&tna=PDC World Championship&eda=04/01/2004,Last 40,Lionel Sams,85.83,Alex MacKay,84.78,3 V 2,3.0,2.0,Lionel Sams
PDC World Championship,2004-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=234&tna=PDC World Championship&eda=04/01/2004,Last 48,Steve Maish,89.52,Tony Payne,80.88,3 V 0,3.0,0.0,Steve Maish
