Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Last 32,Steve Brown (US),85.98,Kevin Spiolek,75.6,3 V 0,3.0,0.0,Steve Brown (US)
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Last 32,Dennis Smith,93.57,Peter Evison,81.0,3 V 0,3.0,0.0,Dennis Smith
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Last 32,Mick Manning,79.14,Dan Lauby Snr,81.9,3 V 1,3.0,1.0,Mick Manning
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Last 32,Graeme Stoddart,90.69,Steve Raw,87.6,3 V 1,3.0,1.0,Graeme Stoddart
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Last 32,Peter Manley,90.18,Eric Bristow,53.37,3 V 0,3.0,0.0,Peter Manley
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Last 32,Phil Taylor,105.03,Reg Harding,87.84,3 V 0,3.0,0.0,Phil Taylor
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Last 32,John Ferrell,86.67,Dennis Priestley,85.17,3 V 0,3.0,0.0,John Ferrell
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Last 32,Bob Anderson,87.96,Keith Deller,81.99,3 V 2,3.0,2.0,Bob Anderson
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Last 32,Jamie Harvey,72.18,Gerald Verrier,65.01,3 V 1,3.0,1.0,Jamie Harvey
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Last 32,Gary Mawson,81.96,Ritchie Gardner,78.12,3 V 0,3.0,0.0,Gary Mawson
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Last 32,Harry Robinson,82.74,Sean Downs,89.88,3 V 2,3.0,2.0,Harry Robinson
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Last 32,Alan Warriner-Little,86.61,John Part,79.35,3 V 0,3.0,0.0,Alan Warriner-Little
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Last 32,Cliff Lazarenko,79.2,Dean Allsop,69.72,3 V 0,3.0,0.0,Cliff Lazarenko
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Last 32,John Lowe,87.06,Paul Lim,78.06,3 V 0,3.0,0.0,John Lowe
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Last 32,Shayne Burgess,92.22,Steve Cummings,77.04,3 V 0,3.0,0.0,Shayne Burgess
PDC World Championship,1999-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=239&tna=PDC World Championship&eda=02/01/1999,Quarter Final,Shayne Burgess,94.95,Cliff Lazarenko,82.23,4 V 1,4.0,1.0,Shayne Burgess
