Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Wes Newton,86.11,Per Laursen,83.68,3 V 1,3.0,1.0,Wes Newton
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Mensur Suljovic,91.62,Peter Manley,88.6,3 V 2,3.0,2.0,Mensur Suljovic
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Kevin Painter,89.05,Matt Clark,92.88,3 V 2,3.0,2.0,Kevin Painter
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Raymond van Barneveld,100.8,Mark Stephenson,88.5,3 V 0,3.0,0.0,Raymond van Barneveld
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Mark Dudbridge,85.29,Nick Fullwell,79.73,3 V 2,3.0,2.0,Mark Dudbridge
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Mark Walsh,91.34,Jamie Caven,91.36,3 V 2,3.0,2.0,Mark Walsh
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Dennis Smith,86.03,Terry Jenkins,91.0,3 V 1,3.0,1.0,Dennis Smith
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Phil Taylor,96.62,Steve Grubb,80.44,3 V 0,3.0,0.0,Phil Taylor
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Dennis Priestley,87.0,Warren French,76.74,3 V 0,3.0,0.0,Dennis Priestley
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Barrie Bates,83.12,Felix McBrearty,77.71,3 V 0,3.0,0.0,Barrie Bates
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Alan Tabern,91.2,Steve Beaton,82.81,3 V 0,3.0,0.0,Alan Tabern
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Michael van Gerwen,83.67,Darin Young,80.11,3 V 1,3.0,1.0,Michael van Gerwen
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Denis Ovens,86.52,Steve Maish,81.6,3 V 0,3.0,0.0,Denis Ovens
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Kevin McDine,88.44,Alex Roy,84.53,3 V 1,3.0,1.0,Kevin McDine
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Andy Hamilton,101.59,Michael Barnard,93.65,3 V 0,3.0,0.0,Andy Hamilton
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 70,Shi Yongsheng,68.67,Hannes Schnier,72.51,6 V 4,6.0,4.0,Shi Yongsheng
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Adrian Lewis,86.19,Russell Stewart,84.58,3 V 1,3.0,1.0,Adrian Lewis
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 70,Charles Losper,87.0,Sudesh Fitzgerald,77.89,6 V 4,6.0,4.0,Charles Losper
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 70,David Fatum,77.19,Shane O'Connor,75.1,6 V 4,6.0,4.0,David Fatum
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Co Stompe,93.6,Andy Jenkins,94.57,3 V 1,3.0,1.0,Co Stompe
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 70,Warren French,54.95,Akahiro Nakagawa,54.34,5 V 3,5.0,3.0,Warren French
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Vincent van der Voort,90.0,Nandor Bezzeg,80.91,3 V 0,3.0,0.0,Vincent van der Voort
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,James Wade,88.63,Brendan Dolan,85.61,3 V 0,3.0,0.0,James Wade
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Jelle Klaasen,95.8,Colin Lloyd,86.73,3 V 0,3.0,0.0,Jelle Klaasen
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Colin Osborne,94.8,Charles Losper,85.03,3 V 0,3.0,0.0,Colin Osborne
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Tony Eccles,86.67,Remco van Eijden,85.6,3 V 2,3.0,2.0,Tony Eccles
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Jan van der Rassel,84.4,Kirk Shepherd,83.25,3 V 2,3.0,2.0,Jan van der Rassel
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Paul Nicholson,96.62,Adrian Gray,84.63,3 V 0,3.0,0.0,Paul Nicholson
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Tony Ayres,86.12,Andy Smith,87.51,3 V 2,3.0,2.0,Tony Ayres
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Mervyn King,92.02,Shi Yongsheng,75.17,3 V 0,3.0,0.0,Mervyn King
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,John Magowan,92.01,Chris Mason,83.1,3 V 0,3.0,0.0,John Magowan
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Ronnie Baxter,92.93,Marko Kantele,83.84,3 V 1,3.0,1.0,Ronnie Baxter
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Bill Davis,90.86,John Part,91.5,3 V 0,3.0,0.0,Bill Davis
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 32,Phil Taylor,102.57,Michael van Gerwen,99.03,4 V 0,4.0,0.0,Phil Taylor
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 64,Carlos Rodriguez,88.25,Roland Scholten,80.93,3 V 2,3.0,2.0,Carlos Rodriguez
PDC World Championship,2009-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=1154&tna=PDC World Championship&eda=04/01/2009,Last 70,Remco van Eijden,82.46,Anastasia Dobromyslova,80.46,5 V 3,5.0,3.0,Remco van Eijden
