Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
YDP Event 1,2015-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=9868&tna=YDP Event 1&eda=03/01/2015,Final,Darren Johnson,,Neil Hart,,5 V 0,5.0,0.0,Darren Johnson
YDP Event 1,2015-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=9868&tna=YDP Event 1&eda=03/01/2015,Semi Final,Darren Johnson,,Terry Temple,,4 V 1,4.0,1.0,Darren Johnson
YDP Event 1,2015-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=9868&tna=YDP Event 1&eda=03/01/2015,Semi Final,Neil Hart,,Richie Corner,,4 V 1,4.0,1.0,Neil Hart
YDP Event 1,2015-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=9868&tna=YDP Event 1&eda=03/01/2015,Quarter Final,Darren Johnson,,John Quantock,,3 V 1,3.0,1.0,Darren Johnson
YDP Event 1,2015-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=9868&tna=YDP Event 1&eda=03/01/2015,Quarter Final,Terry Temple,,Jonathan Crosland,,3 V 0,3.0,0.0,Terry Temple
YDP Event 1,2015-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=9868&tna=YDP Event 1&eda=03/01/2015,Quarter Final,Neil Hart,,Stuart Monaghan,,3 V 1,3.0,1.0,Neil Hart
YDP Event 1,2015-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=9868&tna=YDP Event 1&eda=03/01/2015,Quarter Final,Richie Corner,,Paul Bulmer,,3 V 1,3.0,1.0,Richie Corner
PDC World Championship,2015-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=5664&tna=PDC World Championship&eda=04/01/2015,Last 64,Gary Anderson,86.2,Scott Kirchner,86.21,3 V 1,3.0,1.0,Gary Anderson
PDC World Championship,2015-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=5664&tna=PDC World Championship&eda=04/01/2015,Last 64,Ian White,86.72,John Michael,81.02,3 V 1,3.0,1.0,Ian White
PDC World Championship,2015-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=5664&tna=PDC World Championship&eda=04/01/2015,Last 64,Kevin Painter,89.57,Boris Koltsov,78.14,3 V 1,3.0,1.0,Kevin Painter
PDC World Championship,2015-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=5664&tna=PDC World Championship&eda=04/01/2015,Last 64,Dave Chisnall,86.08,Ryan de Vreede,75.24,3 V 0,3.0,0.0,Dave Chisnall
PDC World Championship,2015-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=5664&tna=PDC World Championship&eda=04/01/2015,Last 64,Mark Webster,81.91,Ron Meulenkamp,77.78,3 V 1,3.0,1.0,Mark Webster
PDC World Championship,2015-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=5664&tna=PDC World Championship&eda=04/01/2015,Last 64,Benito van de Pas,86.28,Paul Nicholson,85.49,3 V 2,3.0,2.0,Benito van de Pas
PDC World Championship,2015-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=5664&tna=PDC World Championship&eda=04/01/2015,Last 64,Darren Webster,94.24,Simon Whitlock,87.29,3 V 1,3.0,1.0,Darren Webster
PDC World Championship,2015-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=5664&tna=PDC World Championship&eda=04/01/2015,Last 64,Robert Thornton,97.65,Andrew Gilding,92.0,3 V 0,3.0,0.0,Robert Thornton
PDC World Championship,2015-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=5664&tna=PDC World Championship&eda=04/01/2015,Last 64,Ronny Huybrechts,87.75,Andy Smith,86.66,3 V 0,3.0,0.0,Ronny Huybrechts
PDC World Championship,2015-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=5664&tna=PDC World Championship&eda=04/01/2015,Last 64,Ronnie Baxter,94.64,Daryl Gurney,88.78,3 V 1,3.0,1.0,Ronnie Baxter
PDC World Championship,2015-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=5664&tna=PDC World Championship&eda=04/01/2015,Last 64,Kim Huybrechts,99.4,Mickey Mansell,87.65,3 V 0,3.0,0.0,Kim Huybrechts
PDC World Championship,2015-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=5664&tna=PDC World Championship&eda=04/01/2015,Last 64,Laurence Ryder,83.59,Justin Pipe,86.28,3 V 2,3.0,2.0,Laurence Ryder
PDC World Championship,2015-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=5664&tna=PDC World Championship&eda=04/01/2015,Last 64,Terry Jenkins,98.73,John Weber,79.86,3 V 1,3.0,1.0,Terry Jenkins
PDC World Championship,2015-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=5664&tna=PDC World Championship&eda=04/01/2015,Last 64,Phil Taylor,100.57,Jyhan Artut,87.47,3 V 0,3.0,0.0,Phil Taylor
PDC World Championship,2015-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=5664&tna=PDC World Championship&eda=04/01/2015,Last 64,Kyle Anderson,85.99,Steve Beaton,82.24,3 V 0,3.0,0.0,Kyle Anderson
