Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Maik Kuivenhoven,,Ky Smith,,3 V 1,3.0,1.0,Maik Kuivenhoven
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Ritchie Edhouse,,Peter Hudson,,3 V 2,3.0,2.0,Ritchie Edhouse
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,William O'Connor,,Danny Lauby II,,3 V 2,3.0,2.0,William O'Connor
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Ron Meulenkamp,,Lisa Ashton,,3 V 0,3.0,0.0,Ron Meulenkamp
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Lewy Williams,,Toyokazu Shibata,,3 V 0,3.0,0.0,Lewy Williams
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Keane Barry,,Royden Lam,,3 V 2,3.0,2.0,Keane Barry
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Boris Koltsov,,Jermaine Wattimena,,3 V 0,3.0,0.0,Boris Koltsov
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Steve Beaton,,Fallon Sherrock,,3 V 2,3.0,2.0,Steve Beaton
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 64,Daryl Gurney,,Ricky Evans,,3 V 1,3.0,1.0,Daryl Gurney
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 64,Callan Rydz,,Brendan Dolan,,3 V 0,3.0,0.0,Callan Rydz
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 64,Ian White,,Chris Landman,,3 V 1,3.0,1.0,Ian White
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 64,Gary Anderson,,Adrian Lewis,,3 V 1,3.0,1.0,Gary Anderson
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 64,Luke Humphries,,Rowby-John Rodriguez,,3 V 0,3.0,0.0,Luke Humphries
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 64,Dave Chisnall,,Mike de Decker,,3 V 0,3.0,0.0,Dave Chisnall
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 64,Chris Dobey,,Rusty-Jake Rodriguez,,3 V 2,3.0,2.0,Chris Dobey
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 64,Michael van Gerwen,,Chas Barstow,,3 V 1,3.0,1.0,Michael van Gerwen
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 64,Nathan Aspinall,,Joe Murnan,,3 V 2,3.0,2.0,Nathan Aspinall
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 64,Alan Soutar,,Mensur Suljovic,,3 V 2,3.0,2.0,Alan Soutar
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Adam Hunt,,Boris Krcmar,,3 V 0,3.0,0.0,Adam Hunt
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 64,Rob Cross,,Raymond van Barneveld,,3 V 1,3.0,1.0,Rob Cross
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Jim Williams,,Ted Evetts,,3 V 1,3.0,1.0,Jim Williams
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Mike de Decker,,Darius Labanauskas,,3 V 1,3.0,1.0,Mike de Decker
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Florian Hempel,,Martin Schindler,,3 V 0,3.0,0.0,Florian Hempel
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Ricky Evans,,Nitin Kumar,,3 V 0,3.0,0.0,Ricky Evans
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Raymond van Barneveld,,Lourence Ilagan,,3 V 0,3.0,0.0,Raymond van Barneveld
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Chris Landman,,Scott Mitchell,,3 V 0,3.0,0.0,Chris Landman
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Adrian Lewis,,Matt Campbell,,3 V 1,3.0,1.0,Adrian Lewis
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Rowby-John Rodriguez,,Nick Kenny,,3 V 0,3.0,0.0,Rowby-John Rodriguez
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 64,Jose de Sousa,,Jason Lowe,,3 V 2,3.0,2.0,Jose de Sousa
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Rusty-Jake Rodriguez,,Ben Robb,,3 V 1,3.0,1.0,Rusty-Jake Rodriguez
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Chas Barstow,,John Norman-Jnr,,3 V 1,3.0,1.0,Chas Barstow
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Callan Rydz,,Yuki Yamada,,3 V 0,3.0,0.0,Callan Rydz
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Joe Murnan,,Paul Lim,,3 V 2,3.0,2.0,Joe Murnan
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Alan Soutar,,Diogo Portela,,3 V 2,3.0,2.0,Alan Soutar
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Jason Lowe,,Daniel Larsson,,3 V 0,3.0,0.0,Jason Lowe
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Jason Heaver,,Gordon Mathers,,3 V 1,3.0,1.0,Jason Heaver
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,William Borland,,Bradley Brooks,,3 V 2,3.0,2.0,William Borland
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Luke Woodhouse,,James Wilson,,3 V 1,3.0,1.0,Luke Woodhouse
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Ryan Meikle,,Fabian Schmutzler,,3 V 0,3.0,0.0,Ryan Meikle
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Ryan Joyce,,Roman Benecky,,3 V 2,3.0,2.0,Ryan Joyce
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Steve Lennon,,Madars Razma,,3 V 1,3.0,1.0,Steve Lennon
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Raymond Smith,,Jamie Hughes,,3 V 1,3.0,1.0,Raymond Smith
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Martijn Kleermaker,,John Michael,,3 V 1,3.0,1.0,Martijn Kleermaker
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 64,Danny Noppert,,Jason Heaver,,3 V 1,3.0,1.0,Danny Noppert
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 96,Ross Smith,,Jeff Smith,,3 V 0,3.0,0.0,Ross Smith
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 64,Damon Heta,,Luke Woodhouse,,3 V 1,3.0,1.0,Damon Heta
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 32,Raymond Smith,,Florian Hempel,,4 V 1,4.0,1.0,Raymond Smith
PDC World Championship,2022-01-03,https://www.dartsdatabase.co.uk/display-event.php?eid=23534&tna=PDC World Championship&eda=03/01/2022,Last 32,Martijn Kleermaker,,Joe Cullen,,4 V 3,4.0,3.0,Martijn Kleermaker
