Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Phil Taylor,80.49,Jim Watkins,78.0,3 V 0,3.0,0.0,Phil Taylor
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Jim Watkins,87.9,Jamie Harvey,91.35,3 V 2,3.0,2.0,Jim Watkins
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Phil Taylor,92.58,Jamie Harvey,89.76,3 V 1,3.0,1.0,Phil Taylor
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Bob Anderson,83.43,Dave Kelly (US),72.48,3 V 0,3.0,0.0,Bob Anderson
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Gerald Verrier,74.43,Dave Kelly (US),75.39,3 V 0,3.0,0.0,Gerald Verrier
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Steve Brown (US),89.28,Peter Evison,83.13,5 V 1,5.0,1.0,Steve Brown (US)
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Quarter Final,Dennis Priestley,90.93,Tom Kirby,84.03,4 V 2,4.0,2.0,Dennis Priestley
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Quarter Final,Peter Evison,90.15,Rod Harrington,89.37,4 V 1,4.0,1.0,Peter Evison
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Quarter Final,Steve Brown (US),90.21,Alan Warriner-Little,88.29,4 V 3,4.0,3.0,Steve Brown (US)
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Semi Final,Dennis Priestley,89.56,Peter Evison,82.41,5 V 3,5.0,3.0,Dennis Priestley
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Quarter Final,Phil Taylor,90.21,Bob Anderson,90.72,4 V 2,4.0,2.0,Phil Taylor
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Kevin Spiolek,85.5,Keith Deller,88.53,3 V 1,3.0,1.0,Kevin Spiolek
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Bob Anderson,86.97,Gerald Verrier,82.89,3 V 0,3.0,0.0,Bob Anderson
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Steve Brown (US),85.92,Keith Deller,84.57,3 V 1,3.0,1.0,Steve Brown (US)
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Graeme Stoddart,78.21,Jocky Wilson,77.22,3 V 1,3.0,1.0,Graeme Stoddart
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Alan Warriner-Little,87.93,Ritchie Gardner,81.0,3 V 1,3.0,1.0,Alan Warriner-Little
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Ritchie Gardner,83.25,Cliff Lazarenko,77.64,3 V 1,3.0,1.0,Ritchie Gardner
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Peter Evison,93.39,Jerry Umberger,81.06,3 V 0,3.0,0.0,Peter Evison
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Jerry Umberger,81.06,Kevin Burrows,77.04,3 V 0,3.0,0.0,Jerry Umberger
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Peter Evison,97.56,Kevin Burrows,87.57,3 V 0,3.0,0.0,Peter Evison
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Rod Harrington,89.22,Eric Bristow,78.63,3 V 1,3.0,1.0,Rod Harrington
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Eric Bristow,82.2,Sean Downs,79.2,3 V 2,3.0,2.0,Eric Bristow
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Rod Harrington,90.6,Sean Downs,83.88,3 V 2,3.0,2.0,Rod Harrington
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,John Lowe,89.94,Tom Kirby,87.66,3 V 2,3.0,2.0,John Lowe
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Tom Kirby,88.44,Larry Butler,89.04,3 V 1,3.0,1.0,Tom Kirby
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Larry Butler,81.21,John Lowe,82.86,3 V 2,3.0,2.0,Larry Butler
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Dennis Priestley,95.22,Jocky Wilson,94.38,3 V 2,3.0,2.0,Dennis Priestley
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Dennis Priestley,86.25,Graeme Stoddart,85.92,3 V 0,3.0,0.0,Dennis Priestley
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Semi Final,Phil Taylor,91.2,Steve Brown (US),91.2,5 V 0,5.0,0.0,Phil Taylor
PDC World Championship,1994-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=244&tna=PDC World Championship&eda=02/01/1994,Last 24 Group 3rd,Steve Brown (US),92.61,Kevin Spiolek,84.06,3 V 0,3.0,0.0,Steve Brown (US)
