Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
British Open,1992-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=716&tna=British Open&eda=01/01/1992,Final,Phil Gilman,,Dennis Priestley,,3 V 1,3.0,1.0,Phil Gilman
British Open,1992-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=716&tna=British Open&eda=01/01/1992,Quarter Final,Antonio Munoz Ramos,,Shayne Burgess,,2 V 0,2.0,0.0,Antonio Munoz Ramos
British Open,1992-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=716&tna=British Open&eda=01/01/1992,Quarter Final,Phil Gilman,,Craig Clancy,,2 V 1,2.0,1.0,Phil Gilman
British Open,1992-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=716&tna=British Open&eda=01/01/1992,Quarter Final,Paul Dillon,,Keith Deller,,2 V 0,2.0,0.0,Paul Dillon
British Open,1992-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=716&tna=British Open&eda=01/01/1992,Quarter Final,Dennis Priestley,,Keith Sullivan,,2 V 1,2.0,1.0,Dennis Priestley
British Open,1992-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=716&tna=British Open&eda=01/01/1992,Semi Final,Phil Gilman,,Paul Dillon,,2 V 0,2.0,0.0,Phil Gilman
British Open,1992-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=716&tna=British Open&eda=01/01/1992,Semi Final,Dennis Priestley,,Antonio Munoz Ramos,,2 V 1,2.0,1.0,Dennis Priestley
BDO World Championship,1992-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=16&tna=BDO World Championship&eda=09/01/1992,Last 32,Keith Sullivan,85.2,Peter Evison,85.05,3 V 1,3.0,1.0,Keith Sullivan
BDO World Championship,1992-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=16&tna=BDO World Championship&eda=09/01/1992,Last 32,Dennis Priestley,90.93,Larry Butler,85.23,3 V 1,3.0,1.0,Dennis Priestley
BDO World Championship,1992-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=16&tna=BDO World Championship&eda=09/01/1992,Last 32,Alan Warriner-Little,86.34,Alex Lister,77.49,3 V 0,3.0,0.0,Alan Warriner-Little
BDO World Championship,1992-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=16&tna=BDO World Championship&eda=09/01/1992,Final,Phil Taylor,97.59,Mike Gregory,94.41,6 V 5,6.0,5.0,Phil Taylor
BDO World Championship,1992-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=16&tna=BDO World Championship&eda=09/01/1992,Semi Final,Phil Taylor,91.47,John Lowe,88.98,5 V 4,5.0,4.0,Phil Taylor
BDO World Championship,1992-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=16&tna=BDO World Championship&eda=09/01/1992,Semi Final,Mike Gregory,90.78,Kevin Kenny,86.28,5 V 3,5.0,3.0,Mike Gregory
