Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Mensur Suljovic,93.03,Kevin Painter,88.58,3 V 0,3.0,0.0,Mensur Suljovic
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Kyle Anderson,93.08,Peter Jacques,85.79,3 V 1,3.0,1.0,Kyle Anderson
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Daryl Gurney,100.51,Ronny Huybrechts,96.74,3 V 1,3.0,1.0,Daryl Gurney
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Keegan Brown,95.45,James Wade,93.01,3 V 2,3.0,2.0,Keegan Brown
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Alan Norris,95.41,Kim Viljanen,90.38,3 V 0,3.0,0.0,Alan Norris
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Jamie Lewis,99.02,Jonny Clayton,81.83,3 V 0,3.0,0.0,Jamie Lewis
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Vincent van der Voort,98.9,Dave Chisnall,96.75,3 V 0,3.0,0.0,Vincent van der Voort
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Rob Cross,104.12,Seigo Asada,92.91,3 V 0,3.0,0.0,Rob Cross
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Zoran Lerchbacher,92.09,Mervyn King,82.89,3 V 2,3.0,2.0,Zoran Lerchbacher
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Jermaine Wattimena,96.83,Joe Cullen,96.11,3 V 2,3.0,2.0,Jermaine Wattimena
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Steve West,95.97,Benito van de Pas,90.58,3 V 1,3.0,1.0,Steve West
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Gary Anderson,100.93,Jeff Smith,78.38,3 V 0,3.0,0.0,Gary Anderson
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Jan Dekker,95.74,Jelle Klaasen,96.73,3 V 1,3.0,1.0,Jan Dekker
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Robert Thornton,98.67,Brendan Dolan,94.83,3 V 1,3.0,1.0,Robert Thornton
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Paul Lim,95.98,Mark Webster,91.67,3 V 2,3.0,2.0,Paul Lim
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Ian White,96.89,Cody Harris,85.47,3 V 1,3.0,1.0,Ian White
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Raymond van Barneveld,102.0,Richard North,91.98,3 V 0,3.0,0.0,Raymond van Barneveld
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 72,Brendan Dolan,92.19,Alan Ljubic,85.36,2 V 0,2.0,0.0,Brendan Dolan
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Kevin Munch,93.48,Adrian Lewis,94.04,3 V 1,3.0,1.0,Kevin Munch
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Phil Taylor,96.33,Chris Dobey,91.72,3 V 1,3.0,1.0,Phil Taylor
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 72,Bernie Smith,87.47,Xiao chen Zong,86.97,2 V 0,2.0,0.0,Bernie Smith
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 72,Kevin Munch,84.66,Alexander Oreshkin,76.7,2 V 0,2.0,0.0,Kevin Munch
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 72,Paul Lim,86.25,Kai-Fan Leung,81.74,2 V 0,2.0,0.0,Paul Lim
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 72,Jamie Lewis,93.17,Kenny Neyens,87.21,2 V 1,2.0,1.0,Jamie Lewis
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 72,Cody Harris,84.3,Willard Bruguier III,83.96,2 V 1,2.0,1.0,Cody Harris
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 72,Jeff Smith,95.39,Luke Humphries,88.56,2 V 0,2.0,0.0,Jeff Smith
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 72,Seigo Asada,86.65,Gordon Mathers,82.65,2 V 1,2.0,1.0,Seigo Asada
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Darren Webster,90.81,Devon Petersen,87.16,3 V 2,3.0,2.0,Darren Webster
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Toni Alcinas,85.85,Cristo Reyes,85.26,3 V 1,3.0,1.0,Toni Alcinas
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,James Richardson,96.91,Kim Huybrechts,86.4,3 V 0,3.0,0.0,James Richardson
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Peter Wright,97.9,Diogo Portela,91.66,3 V 1,3.0,1.0,Peter Wright
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Justin Pipe,89.24,Bernie Smith,87.11,3 V 2,3.0,2.0,Justin Pipe
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Simon Whitlock,87.42,Martin Schindler,84.01,3 V 1,3.0,1.0,Simon Whitlock
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Michael Smith,92.63,Steve Lennon,94.95,3 V 2,3.0,2.0,Michael Smith
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,John Henderson,90.09,Marko Kantele,87.21,3 V 0,3.0,0.0,John Henderson
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Dimitri van den Bergh,104.17,Stephen Bunting,98.14,3 V 1,3.0,1.0,Dimitri van den Bergh
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 32,Gary Anderson,97.46,Paul Lim,90.6,4 V 1,4.0,1.0,Gary Anderson
PDC World Championship,2018-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=8808&tna=PDC World Championship&eda=01/01/2018,Last 64,Gerwyn Price,101.55,Ted Evetts,85.6,3 V 0,3.0,0.0,Gerwyn Price
