Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Terry Jenkins,94.31,Steve Brown,86.12,3 V 0,3.0,0.0,Terry Jenkins
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,John Bowles,93.56,Jamie Caven,94.15,3 V 2,3.0,2.0,John Bowles
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,James Wade,91.09,Peter Hudson,82.57,3 V 0,3.0,0.0,James Wade
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Mark Webster,97.0,Ian White,92.11,3 V 1,3.0,1.0,Mark Webster
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Peter Wright,94.95,Arron Monk,89.88,3 V 0,3.0,0.0,Peter Wright
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Gary Anderson,98.82,Jani Haavisto,90.39,3 V 1,3.0,1.0,Gary Anderson
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Brendan Dolan,92.98,Mark Jones,87.95,3 V 0,3.0,0.0,Brendan Dolan
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Andy Hamilton,90.24,James Richardson,83.26,3 V 1,3.0,1.0,Andy Hamilton
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Denis Ovens,81.71,Max Hopp,78.4,3 V 2,3.0,2.0,Denis Ovens
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Phil Taylor,93.92,Mickey Mansell,78.46,3 V 0,3.0,0.0,Phil Taylor
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Daryl Gurney,83.35,Andy Smith,81.81,3 V 1,3.0,1.0,Daryl Gurney
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Dave Chisnall,92.89,Shane Tichowitsch,92.07,3 V 0,3.0,0.0,Dave Chisnall
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,John Part,89.56,Joe Cullen,87.89,3 V 0,3.0,0.0,John Part
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Dean Winstanley,91.76,Mervyn King,90.7,3 V 2,3.0,2.0,Dean Winstanley
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Raymond van Barneveld,108.31,Michael Smith,87.9,3 V 0,3.0,0.0,Raymond van Barneveld
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Wes Newton,86.9,Johnny Haines,84.29,3 V 0,3.0,0.0,Wes Newton
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 72,Lourence Ilagan,78.3,Jamie Lewis,81.84,4 V 3,4.0,3.0,Lourence Ilagan
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Ronnie Baxter,88.72,Dennis Priestley,88.2,3 V 1,3.0,1.0,Ronnie Baxter
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 72,Paul Lim,79.69,Mohd Latif Sapup,65.58,4 V 1,4.0,1.0,Paul Lim
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 72,Haruki Muramatsu,87.13,Dave Harrington,59.36,4 V 0,4.0,0.0,Haruki Muramatsu
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 72,John Bowles,79.01,Carlos Rodriguez,81.92,4 V 2,4.0,2.0,John Bowles
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 72,Jani Haavisto,88.18,Jarkko Komula,82.32,4 V 2,4.0,2.0,Jani Haavisto
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 72,Max Hopp,87.0,Charl Pietersen,81.79,4 V 1,4.0,1.0,Max Hopp
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 72,Daryl Gurney,90.51,Robert Marijanovic,82.16,4 V 3,4.0,3.0,Daryl Gurney
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Colin Osborne,94.51,Lourence Ilagan,87.59,3 V 0,3.0,0.0,Colin Osborne
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 72,Leung Chun Nam,80.1,Andree Welge,76.7,4 V 1,4.0,1.0,Leung Chun Nam
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Mark Walsh,88.58,Darren Webster,87.6,3 V 1,3.0,1.0,Mark Walsh
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Scott Rand,97.82,Kim Huybrechts,98.79,3 V 2,3.0,2.0,Scott Rand
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Vincent van der Voort,89.01,Stuart Kellett,87.53,3 V 0,3.0,0.0,Vincent van der Voort
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Simon Whitlock,95.5,Haruki Muramatsu,84.75,3 V 0,3.0,0.0,Simon Whitlock
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Justin Pipe,84.23,Andy Jenkins,73.2,3 V 0,3.0,0.0,Justin Pipe
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Colin Lloyd,94.22,Darin Young,86.57,3 V 2,3.0,2.0,Colin Lloyd
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Michael van Gerwen,90.64,Paul Lim,87.6,3 V 0,3.0,0.0,Michael van Gerwen
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Richie Burnett,82.73,James Hubbard,78.8,3 V 2,3.0,2.0,Richie Burnett
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Steve Beaton,87.54,Kyle Anderson,83.63,3 V 0,3.0,0.0,Steve Beaton
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Kevin Painter,94.97,Leung Chun Nam,82.81,3 V 0,3.0,0.0,Kevin Painter
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 16,Wes Newton,87.22,Mark Walsh,80.75,4 V 1,4.0,1.0,Wes Newton
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 16,James Wade,89.61,Vincent van der Voort,95.7,4 V 0,4.0,0.0,James Wade
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 16,Michael van Gerwen,98.96,Colin Lloyd,91.33,4 V 1,4.0,1.0,Michael van Gerwen
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 16,Adrian Lewis,95.06,Kevin Painter,92.36,4 V 2,4.0,2.0,Adrian Lewis
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 16,Simon Whitlock,91.07,Dave Chisnall,88.9,4 V 3,4.0,3.0,Simon Whitlock
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 16,Raymond van Barneveld,93.35,Gary Anderson,88.62,4 V 0,4.0,0.0,Raymond van Barneveld
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 16,Andy Hamilton,99.47,Terry Jenkins,100.39,4 V 1,4.0,1.0,Andy Hamilton
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 16,Phil Taylor,97.18,Robert Thornton,94.8,4 V 0,4.0,0.0,Phil Taylor
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Quarter Final,James Wade,92.89,Wes Newton,97.15,5 V 4,5.0,4.0,James Wade
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Quarter Final,Michael van Gerwen,102.73,Adrian Lewis,100.8,5 V 4,5.0,4.0,Michael van Gerwen
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Quarter Final,Phil Taylor,101.38,Andy Hamilton,96.38,5 V 0,5.0,0.0,Phil Taylor
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Semi Final,Michael van Gerwen,97.87,James Wade,87.37,6 V 4,6.0,4.0,Michael van Gerwen
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Semi Final,Phil Taylor,98.98,Raymond van Barneveld,96.74,6 V 4,6.0,4.0,Phil Taylor
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Jerry Hendriks,87.5,Wayne Jones,92.21,3 V 0,3.0,0.0,Jerry Hendriks
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Final,Phil Taylor,103.04,Michael van Gerwen,100.66,7 V 4,7.0,4.0,Phil Taylor
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 32,Andy Hamilton,97.27,Richie Burnett,89.6,4 V 1,4.0,1.0,Andy Hamilton
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 32,Gary Anderson,98.01,John Bowles,90.32,4 V 3,4.0,3.0,Gary Anderson
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Quarter Final,Raymond van Barneveld,102.32,Simon Whitlock,97.36,5 V 1,5.0,1.0,Raymond van Barneveld
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 32,Phil Taylor,90.23,Jerry Hendriks,82.7,4 V 1,4.0,1.0,Phil Taylor
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 32,Dave Chisnall,98.44,Daryl Gurney,96.42,4 V 1,4.0,1.0,Dave Chisnall
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Adrian Lewis,83.14,Gino Vos,79.9,3 V 1,3.0,1.0,Adrian Lewis
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Robert Thornton,99.06,Magnus Caris,83.27,3 V 0,3.0,0.0,Robert Thornton
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 64,Paul Nicholson,87.95,Co Stompe,85.63,3 V 0,3.0,0.0,Paul Nicholson
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 32,Vincent van der Voort,90.79,Dean Winstanley,91.48,4 V 2,4.0,2.0,Vincent van der Voort
PDC World Championship,2013-01-01,https://www.dartsdatabase.co.uk/display-event.php?eid=3831&tna=PDC World Championship&eda=01/01/2013,Last 32,James Wade,92.13,Steve Beaton,88.76,4 V 2,4.0,2.0,James Wade
