Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Mark Walsh,89.68,Warren Parry,82.06,3 V 0,3.0,0.0,Mark Walsh
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Jason Clark,88.36,Steve Maish,87.77,3 V 2,3.0,2.0,Jason Clark
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Peter Manley,83.52,Kevin Spiolek,70.44,3 V 0,3.0,0.0,Peter Manley
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Steve Alker,86.73,Alan Caves,83.58,3 V 1,3.0,1.0,Steve Alker
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Denis Ovens,82.65,Geoff Wylie,78.63,3 V 1,3.0,1.0,Denis Ovens
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Wayne Jones,85.11,James Wade,83.41,3 V 2,3.0,2.0,Wayne Jones
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Andy Jenkins,91.74,Patrick Bulen,85.61,3 V 1,3.0,1.0,Andy Jenkins
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Jan van der Rassel,85.68,Steve Beaton,82.72,3 V 0,3.0,0.0,Jan van der Rassel
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Gary Welding,90.25,Colin Lloyd,95.7,3 V 2,3.0,2.0,Gary Welding
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Erwin Extercatte,83.19,Darren Webster,86.47,3 V 2,3.0,2.0,Erwin Extercatte
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Dennis Smith,87.29,Mark Salmon,83.45,3 V 2,3.0,2.0,Dennis Smith
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 32,Alan Warriner-Little,87.63,Gerry Convery,78.96,4 V 0,4.0,0.0,Alan Warriner-Little
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 32,Andy Smith,89.22,Ray Carver,87.78,4 V 3,4.0,3.0,Andy Smith
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 32,John Part,95.46,Chris Mason,95.49,4 V 3,4.0,3.0,John Part
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 32,Wayne Mardle,88.62,Erik Clarys,77.79,4 V 1,4.0,1.0,Wayne Mardle
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 32,Mark Dudbridge,94.62,Alan Tabern,84.6,4 V 0,4.0,0.0,Mark Dudbridge
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,John Kuczynski,81.98,Lionel Sams,72.47,3 V 0,3.0,0.0,John Kuczynski
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Roland Scholten,84.97,Dave Whitcombe,76.92,3 V 1,3.0,1.0,Roland Scholten
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Adrian Lewis,90.5,Dave Honey,83.2,3 V 0,3.0,0.0,Adrian Lewis
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Dennis Priestley,95.69,John Magowan,86.78,3 V 1,3.0,1.0,Dennis Priestley
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Alan Warriner-Little,78.18,Andree Welge,74.16,3 V 0,3.0,0.0,Alan Warriner-Little
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Andy Smith,87.77,Colin Monk,80.36,3 V 0,3.0,0.0,Andy Smith
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Ray Carver,87.71,Ronnie Baxter,89.91,3 V 2,3.0,2.0,Ray Carver
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Chris Mason,91.32,Steve Hine,85.74,3 V 1,3.0,1.0,Chris Mason
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,John Part,93.38,Cheng An Liu,80.41,3 V 0,3.0,0.0,John Part
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Erik Clarys,80.28,Winston Cadogan,60.0,3 V 0,3.0,0.0,Erik Clarys
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Wayne Mardle,85.93,Brian Roach,74.0,3 V 1,3.0,1.0,Wayne Mardle
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Tomas Seyler,87.79,Jamie Harvey,80.96,3 V 0,3.0,0.0,Tomas Seyler
PDC World Championship,2006-01-02,https://www.dartsdatabase.co.uk/display-event.php?eid=38&tna=PDC World Championship&eda=02/01/2006,Last 64,Alan Tabern,87.97,Alex Roy,90.35,3 V 2,3.0,2.0,Alan Tabern
