Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,2000-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=238&tna=PDC World Championship&eda=04/01/2000,Last 16,Alan Warriner-Little,90.0,Alex Roy,78.24,3 V 0,3.0,0.0,Alan Warriner-Little
PDC World Championship,2000-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=238&tna=PDC World Championship&eda=04/01/2000,Last 16,Dennis Smith,91.32,John Part,90.48,3 V 0,3.0,0.0,Dennis Smith
PDC World Championship,2000-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=238&tna=PDC World Championship&eda=04/01/2000,Last 16,John Lowe,85.62,Keith Deller,87.51,3 V 1,3.0,1.0,John Lowe
PDC World Championship,2000-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=238&tna=PDC World Championship&eda=04/01/2000,Last 16,Shayne Burgess,91.59,Nigel Justice,82.2,3 V 0,3.0,0.0,Shayne Burgess
PDC World Championship,2000-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=238&tna=PDC World Championship&eda=04/01/2000,Last 16,Dennis Priestley,83.58,Jamie Harvey,84.9,3 V 2,3.0,2.0,Dennis Priestley
PDC World Championship,2000-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=238&tna=PDC World Championship&eda=04/01/2000,Quarter Final,Phil Taylor,105.87,Alan Warriner-Little,92.25,5 V 0,5.0,0.0,Phil Taylor
PDC World Championship,2000-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=238&tna=PDC World Championship&eda=04/01/2000,Last 16,Peter Manley,90.48,Steve Brown (US),84.69,3 V 1,3.0,1.0,Peter Manley
PDC World Championship,2000-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=238&tna=PDC World Championship&eda=04/01/2000,Semi Final,Dennis Priestley,98.76,Peter Manley,97.08,5 V 2,5.0,2.0,Dennis Priestley
PDC World Championship,2000-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=238&tna=PDC World Championship&eda=04/01/2000,Quarter Final,Dennis Smith,87.24,John Lowe,87.6,5 V 3,5.0,3.0,Dennis Smith
PDC World Championship,2000-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=238&tna=PDC World Championship&eda=04/01/2000,Quarter Final,Dennis Priestley,90.24,Shayne Burgess,89.37,5 V 4,5.0,4.0,Dennis Priestley
PDC World Championship,2000-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=238&tna=PDC World Championship&eda=04/01/2000,Last 16,Phil Taylor,103.8,Graeme Stoddart,84.36,3 V 0,3.0,0.0,Phil Taylor
PDC World Championship,2000-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=238&tna=PDC World Championship&eda=04/01/2000,Final,Phil Taylor,94.42,Dennis Priestley,91.8,7 V 3,7.0,3.0,Phil Taylor
