Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,2003-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=235&tna=PDC World Championship&eda=05/01/2003,Last 32,Colin Lloyd,86.37,Bob Anderson,92.49,4 V 3,4.0,3.0,Colin Lloyd
PDC World Championship,2003-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=235&tna=PDC World Championship&eda=05/01/2003,Last 32,Les Fitton,80.91,John Lowe,72.48,4 V 1,4.0,1.0,Les Fitton
PDC World Championship,2003-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=235&tna=PDC World Championship&eda=05/01/2003,Last 32,Alan Warriner-Little,85.53,Rod Harrington,79.77,4 V 2,4.0,2.0,Alan Warriner-Little
PDC World Championship,2003-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=235&tna=PDC World Championship&eda=05/01/2003,Last 32,Ronnie Baxter,96.9,Mick Manning,86.37,4 V 1,4.0,1.0,Ronnie Baxter
PDC World Championship,2003-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=235&tna=PDC World Championship&eda=05/01/2003,Last 32,Kevin Painter,86.49,Reg Harding,86.34,4 V 1,4.0,1.0,Kevin Painter
PDC World Championship,2003-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=235&tna=PDC World Championship&eda=05/01/2003,Last 32,Richie Burnett,91.68,Keith Deller,87.93,4 V 3,4.0,3.0,Richie Burnett
PDC World Championship,2003-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=235&tna=PDC World Championship&eda=05/01/2003,Last 32,Simon Whitlock,87.63,Peter Manley,86.34,4 V 1,4.0,1.0,Simon Whitlock
PDC World Championship,2003-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=235&tna=PDC World Championship&eda=05/01/2003,Last 32,Chris Mason,90.9,Andy Jenkins,84.0,4 V 2,4.0,2.0,Chris Mason
PDC World Championship,2003-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=235&tna=PDC World Championship&eda=05/01/2003,Last 40,Wayne Mardle,93.0,Ray Carver,82.71,4 V 0,4.0,0.0,Wayne Mardle
PDC World Championship,2003-01-05,https://www.dartsdatabase.co.uk/display-event.php?eid=235&tna=PDC World Championship&eda=05/01/2003,Last 32,John Part,88.68,Cliff Lazarenko,85.41,4 V 1,4.0,1.0,John Part
