Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Gary Mawson,76.8,John Lowe,79.62,3 V 0,3.0,0.0,Gary Mawson
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Dennis Priestley,85.83,Eric Bristow,81.54,3 V 0,3.0,0.0,Dennis Priestley
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Steve Raw,86.52,Eric Bristow,78.75,3 V 0,3.0,0.0,Steve Raw
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Dennis Priestley,96.87,Steve Raw,82.02,3 V 0,3.0,0.0,Dennis Priestley
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Peter Manley,90.87,John Lowe,79.62,3 V 0,3.0,0.0,Peter Manley
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Peter Manley,91.35,Gary Mawson,86.58,3 V 0,3.0,0.0,Peter Manley
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,,Rod Harrington,90.09,Keith Deller,81.69,4 V 1,4.0,1.0,Rod Harrington
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Graeme Stoddart,79.68,Mick Manning,69.57,3 V 0,3.0,0.0,Graeme Stoddart
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Mick Manning,79.17,Keith Deller,77.82,3 V 2,3.0,2.0,Mick Manning
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Alan Warriner-Little,81.3,Steve Brown (US),78.93,3 V 1,3.0,1.0,Alan Warriner-Little
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Steve Brown (US),82.86,Harry Robinson,75.99,3 V 2,3.0,2.0,Steve Brown (US)
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Harry Robinson,83.67,Alan Warriner-Little,85.26,3 V 0,3.0,0.0,Harry Robinson
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Peter Evison,85.62,John Part,85.32,3 V 2,3.0,2.0,Peter Evison
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Keith Deller,85.14,Graeme Stoddart,81.66,3 V 1,3.0,1.0,Keith Deller
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,John Part,81.42,Paul Lim,74.55,3 V 1,3.0,1.0,John Part
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Bob Anderson,83.91,Gerald Verrier,76.32,3 V 1,3.0,1.0,Bob Anderson
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Rod Harrington,89.61,Jamie Harvey,88.32,3 V 2,3.0,2.0,Rod Harrington
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Peter Evison,82.98,Paul Lim,84.3,3 V 0,3.0,0.0,Peter Evison
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Semi Final,Dennis Priestley,87.15,Keith Deller,79.32,5 V 1,5.0,1.0,Dennis Priestley
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Quarter Final,Phil Taylor,98.82,Shayne Burgess,88.83,4 V 0,4.0,0.0,Phil Taylor
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Quarter Final,Rod Harrington,94.53,Peter Evison,84.33,4 V 0,4.0,0.0,Rod Harrington
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Quarter Final,Dennis Priestley,88.08,Peter Manley,88.92,4 V 3,4.0,3.0,Dennis Priestley
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Quarter Final,Keith Deller,79.23,Harry Robinson,81.09,4 V 1,4.0,1.0,Keith Deller
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Phil Taylor,83.04,Kevin Spiolek,66.99,3 V 0,3.0,0.0,Phil Taylor
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Semi Final,Phil Taylor,103.08,Rod Harrington,98.01,5 V 2,5.0,2.0,Phil Taylor
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Phil Taylor,96.96,Dennis Smith,80.88,3 V 0,3.0,0.0,Phil Taylor
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Shayne Burgess,84.39,Bob Anderson,79.59,3 V 0,3.0,0.0,Shayne Burgess
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Shayne Burgess,87.03,Gerald Verrier,80.07,3 V 0,3.0,0.0,Shayne Burgess
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Final,Phil Taylor,103.98,Dennis Priestley,90.75,6 V 0,6.0,0.0,Phil Taylor
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Jamie Harvey,89.46,John Ferrell,77.55,3 V 0,3.0,0.0,Jamie Harvey
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Rod Harrington,81.78,John Ferrell,78.63,3 V 0,3.0,0.0,Rod Harrington
PDC World Championship,1998-01-04,https://www.dartsdatabase.co.uk/display-event.php?eid=240&tna=PDC World Championship&eda=04/01/1998,Last 24 Group,Dennis Smith,81.99,Kevin Spiolek,81.21,3 V 1,3.0,1.0,Dennis Smith
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 32,Les Wallace,91.35,Andy Smith,80.04,3 V 2,3.0,2.0,Les Wallace
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 32,Ted Hankey,101.55,Wayne Weening,89.1,3 V 0,3.0,0.0,Ted Hankey
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 32,Colin Monk,87.6,Richie Davies,87.51,3 V 1,3.0,1.0,Colin Monk
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 32,Robbie Widdows,90.24,Martin Adams,90.93,3 V 2,3.0,2.0,Robbie Widdows
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 32,Chris Mason,88.32,Geoff Wylie,82.77,3 V 1,3.0,1.0,Chris Mason
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 32,Peter Johnstone,85.95,Ronnie Baxter,85.17,3 V 2,3.0,2.0,Peter Johnstone
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 32,Bobby George,87.6,Braulio Roncero,81.69,3 V 1,3.0,1.0,Bobby George
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 32,Richie Burnett,93.63,Marshall James,88.98,3 V 1,3.0,1.0,Richie Burnett
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 32,Sean Palfrey,87.87,Peter Hinkley,80.85,3 V 1,3.0,1.0,Sean Palfrey
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 32,Roger Carter,89.88,Bob Taylor,84.3,3 V 1,3.0,1.0,Roger Carter
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 32,Roland Scholten,82.77,Co Stompe,81.72,3 V 2,3.0,2.0,Roland Scholten
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 32,Steve Beaton,88.62,Paul Williams,90.15,3 V 1,3.0,1.0,Steve Beaton
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 32,Kevin Painter,98.88,Erik Clarys,89.37,3 V 1,3.0,1.0,Kevin Painter
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 32,Raymond van Barneveld,87.48,Michael Marshall,83.4,3 V 1,3.0,1.0,Raymond van Barneveld
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 32,Mervyn King,95.46,Matt Clark,93.42,3 V 0,3.0,0.0,Mervyn King
BDO World Championship,1998-01-14,https://www.dartsdatabase.co.uk/display-event.php?eid=22&tna=BDO World Championship&eda=14/01/1998,Last 16,Roland Scholten,91.47,Roger Carter,89.31,3 V 1,3.0,1.0,Roland Scholten
