Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
BDO World Championship,1993-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=17&tna=BDO World Championship&eda=09/01/1993,Last 32,Wayne Weening,86.64,Rod Harrington,93.39,3 V 0,3.0,0.0,Wayne Weening
BDO World Championship,1993-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=17&tna=BDO World Championship&eda=09/01/1993,Last 32,Albert Anstey,82.71,Sean Downs,73.62,3 V 0,3.0,0.0,Albert Anstey
BDO World Championship,1993-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=17&tna=BDO World Championship&eda=09/01/1993,Last 32,Jann Hoffman,81.99,Bernd Hebecker,70.53,3 V 0,3.0,0.0,Jann Hoffman
BDO World Championship,1993-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=17&tna=BDO World Championship&eda=09/01/1993,Last 32,Alan Warriner-Little,98.46,Mitchell Crooks,91.62,3 V 0,3.0,0.0,Alan Warriner-Little
BDO World Championship,1993-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=17&tna=BDO World Championship&eda=09/01/1993,Last 32,Ronnie Sharp,94.47,Peter Hunt,82.44,3 V 0,3.0,0.0,Ronnie Sharp
BDO World Championship,1993-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=17&tna=BDO World Championship&eda=09/01/1993,Last 32,Bob Anderson,90.48,Scott Coleman,90.9,3 V 1,3.0,1.0,Bob Anderson
BDO World Championship,1993-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=17&tna=BDO World Championship&eda=09/01/1993,Last 32,Eric Bristow,86.67,Per Skau,84.69,3 V 1,3.0,1.0,Eric Bristow
BDO World Championship,1993-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=17&tna=BDO World Championship&eda=09/01/1993,Last 32,Dennis Priestley,102.63,Jocky Wilson,96.09,3 V 0,3.0,0.0,Dennis Priestley
BDO World Championship,1993-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=17&tna=BDO World Championship&eda=09/01/1993,Last 32,Steve Beaton,96.21,Davy Richardson,88.71,3 V 1,3.0,1.0,Steve Beaton
BDO World Championship,1993-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=17&tna=BDO World Championship&eda=09/01/1993,Last 16,Kevin Spiolek,86.49,Phil Taylor,87.93,3 V 1,3.0,1.0,Kevin Spiolek
BDO World Championship,1993-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=17&tna=BDO World Championship&eda=09/01/1993,Last 16,John Lowe,86.97,Raymond van Barneveld,86.94,3 V 2,3.0,2.0,John Lowe
BDO World Championship,1993-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=17&tna=BDO World Championship&eda=09/01/1993,Quarter Final,Steve Beaton,97.29,Bob Anderson,91.2,4 V 1,4.0,1.0,Steve Beaton
BDO World Championship,1993-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=17&tna=BDO World Championship&eda=09/01/1993,Last 16,Mike Gregory,91.56,Jann Hoffman,86.55,3 V 1,3.0,1.0,Mike Gregory
BDO World Championship,1993-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=17&tna=BDO World Championship&eda=09/01/1993,Last 16,Wayne Weening,93.93,Albert Anstey,89.07,3 V 0,3.0,0.0,Wayne Weening
BDO World Championship,1993-01-09,https://www.dartsdatabase.co.uk/display-event.php?eid=17&tna=BDO World Championship&eda=09/01/1993,Last 16,Alan Warriner-Little,95.49,Ronnie Sharp,88.83,3 V 1,3.0,1.0,Alan Warriner-Little
