Event,EventDate,EventURL,Round,Player1,Player1Avg,Player2,Player2Avg,ScoreRaw,Player1Score,Player2Score,Winner
Ireland Players Championship 1,2011-10-23,https://www.dartsdatabase.co.uk/display-event.php?eid=4509&tna=Ireland Players Championship 1&eda=23/10/2011,Quarter Final,Darren Clifford,,Michael Meaney,,5 V 3,5.0,3.0,Darren Clifford
Ireland Players Championship 1,2011-10-23,https://www.dartsdatabase.co.uk/display-event.php?eid=4509&tna=Ireland Players Championship 1&eda=23/10/2011,Semi Final,Glenn Spearing,,Stephen Byrne,,6 V 2,6.0,2.0,Glenn Spearing
Ireland Players Championship 1,2011-10-23,https://www.dartsdatabase.co.uk/display-event.php?eid=4509&tna=Ireland Players Championship 1&eda=23/10/2011,Quarter Final,Damien O Driscoll,,Dave Hurley,,5 V 2,5.0,2.0,Damien O Driscoll
Ireland Players Championship 1,2011-10-23,https://www.dartsdatabase.co.uk/display-event.php?eid=4509&tna=Ireland Players Championship 1&eda=23/10/2011,Quarter Final,Glenn Spearing,,Martin Murphy,,5 V 2,5.0,2.0,Glenn Spearing
Ireland Players Championship 1,2011-10-23,https://www.dartsdatabase.co.uk/display-event.php?eid=4509&tna=Ireland Players Championship 1&eda=23/10/2011,Quarter Final,Stephen Byrne,,James Brennan,,5 V 4,5.0,4.0,Stephen Byrne
Ireland Players Championship 1,2011-10-23,https://www.dartsdatabase.co.uk/display-event.php?eid=4509&tna=Ireland Players Championship 1&eda=23/10/2011,Last 16,Dave Hurley,,Keith Rooney,,5 V 3,5.0,3.0,Dave Hurley
Ireland Players Championship 1,2011-10-23,https://www.dartsdatabase.co.uk/display-event.php?eid=4509&tna=Ireland Players Championship 1&eda=23/10/2011,Last 16,Damien O Driscoll,,Daragh Flanagan,,5 V 1,5.0,1.0,Damien O Driscoll
Ireland Players Championship 1,2011-10-23,https://www.dartsdatabase.co.uk/display-event.php?eid=4509&tna=Ireland Players Championship 1&eda=23/10/2011,Last 16,Michael Meaney,,John Ward,,5 V 3,5.0,3.0,Michael Meaney
Ireland Players Championship 1,2011-10-23,https://www.dartsdatabase.co.uk/display-event.php?eid=4509&tna=Ireland Players Championship 1&eda=23/10/2011,Last 16,Darren Clifford,,Martin Carvill,,5 V 3,5.0,3.0,Darren Clifford
Ireland Players Championship 1,2011-10-23,https://www.dartsdatabase.co.uk/display-event.php?eid=4509&tna=Ireland Players Championship 1&eda=23/10/2011,Last 16,Martin Murphy,,Connie Finnan,,5 V 2,5.0,2.0,Martin Murphy
Ireland Players Championship 1,2011-10-23,https://www.dartsdatabase.co.uk/display-event.php?eid=4509&tna=Ireland Players Championship 1&eda=23/10/2011,Last 16,Glenn Spearing,,Kevin Burness,,5 V 2,5.0,2.0,Glenn Spearing
Ireland Players Championship 1,2011-10-23,https://www.dartsdatabase.co.uk/display-event.php?eid=4509&tna=Ireland Players Championship 1&eda=23/10/2011,Last 16,Stephen Byrne,,David Coyne,,5 V 2,5.0,2.0,Stephen Byrne
Ireland Players Championship 1,2011-10-23,https://www.dartsdatabase.co.uk/display-event.php?eid=4509&tna=Ireland Players Championship 1&eda=23/10/2011,Last 16,James Brennan,,Kevin McDonnell,,5 V 4,5.0,4.0,James Brennan
Ireland Players Championship 1,2011-10-23,https://www.dartsdatabase.co.uk/display-event.php?eid=4509&tna=Ireland Players Championship 1&eda=23/10/2011,Semi Final,Damien O Driscoll,,Darren Clifford,,6 V 2,6.0,2.0,Damien O Driscoll
Ireland Players Championship 1,2011-10-23,https://www.dartsdatabase.co.uk/display-event.php?eid=4509&tna=Ireland Players Championship 1&eda=23/10/2011,Final,Glenn Spearing,,Damien O Driscoll,,6 V 2,6.0,2.0,Glenn Spearing
Ireland Players Championship 2,2011-11-27,https://www.dartsdatabase.co.uk/display-event.php?eid=4510&tna=Ireland Players Championship 2&eda=27/11/2011,Last 16,James Brennan,,Luke Nolan,,5 V 3,5.0,3.0,James Brennan
